t,buy_price,sell_price,grid_power,upstream_power,dg_reward,dg_reward_cum
36,0.095,0.125,-194.87468700000002,0.0,75.0661235120463,2916.820975142524
37,0.095,0.125,-194.882891,0.0,75.0516785227887,2991.8726536653126
38,0.09,0.125,-185.793993,0.0,75.48521057490059,3067.357864240213
39,0.095,0.125,-157.40538800000002,0.0,75.91112067750566,3143.2689849177186
40,0.1,0.13,-146.03855799999997,0.0,75.98120243598899,3219.2501873537076
41,0.1,0.13,-178.587599,0.0,75.1666805053778,3294.4168678590854
42,0.1,0.13,-184.74686499999996,0.0,75.00391072392236,3369.4207785830076
43,0.1,0.13,-129.063518,0.0,76.3720725887684,3445.792851171776
44,0.1,0.13,-155.46227499999998,0.0,75.70499696199808,3521.497848133774
45,0.095,0.125,-185.643419,0.0,75.17310547120888,3596.670953604983
46,0.095,0.125,-261.92409899999996,0.0,73.36790324962143,3670.0388568546045
47,0.09,0.12,-310.586643,0.0,72.59830633358462,3742.6371631881893
48,0.09,0.12,-279.223784,0.0,73.28379740063124,3815.9209605888204
49,0.09,0.12,-191.710169,0.0,75.21440460589052,3891.135365194711
50,0.09,0.12,-221.352453,0.0,74.55444715764322,3965.6898123523542
51,0.08499999999999999,0.11499999999999999,-223.1369,0.0,74.79161337279442,4040.4814257251487
52,0.08499999999999999,0.11499999999999999,-138.19006600000003,0.0,76.56769795342966,4117.049123678578
53,0.08499999999999999,0.11499999999999999,-140.14983500000002,0.0,76.52527282482453,4193.574396503403
54,0.08499999999999999,0.11499999999999999,-134.63389099999998,0.0,76.63857419180245,4270.212970695205
55,0.08499999999999999,0.11499999999999999,-92.728062,0.0,77.51622264095982,4347.729193336165
56,0.08499999999999999,0.11499999999999999,-63.03324299999999,0.0,78.13536561087103,4425.864558947036
57,0.09,0.12,-96.53102200000002,0.0,77.31270705965132,4503.177266006687
58,0.09,0.12,-73.23693099999998,0.0,77.83702474316198,4581.014290749849
59,0.095,0.125,-42.87168700000001,0.0,78.46148554722114,4659.47577629707
60,0.095,0.125,-9.989217000000004,0.0,79.23922144328506,4738.714997740355
61,0.095,0.125,0.0,0.0,79.47841720582193,4818.193414946177
62,0.095,0.125,0.0,0.0,79.48501004114694,4897.6784249873235
63,0.095,0.125,13.352272999999997,0.0,79.89850039675763,4977.576925384081
64,0.095,0.125,-20.693183999999988,0.0,79.00701601785826,5056.583941401939
65,0.095,0.125,-60.309428,0.0,78.09387243179928,5134.677813833739
66,0.095,0.125,-33.988580999999996,0.0,78.72259984789333,5213.400413681632
67,0.09,0.125,-43.867037,0.0,78.55627271755809,5291.95668639919
68,0.09,0.125,-42.361542,0.0,78.60239661131793,5370.559083010508
69,0.09,0.125,18.091801000000018,3.091801000000018,80.03425538328167,5450.59333839379
70,0.09,0.12,-22.625525999999994,0.0,79.06620266566907,5529.659541059459
71,0.09,0.12,-38.47241299999999,0.0,78.72647751256008,5608.38601857202
72,0.09,0.12,-31.22224399999999,0.0,78.90177694118377,5687.2877955132035
73,0.095,0.125,-23.238946999999996,0.0,79.06467215709023,5766.352467670294
74,0.095,0.125,0.0,0.0,79.6260197924189,5845.978487462713
75,0.09,0.125,0.0,0.0,79.64036031451276,5925.618847777226
76,0.09,0.12,0.0,0.0,79.65469362003164,6005.273541397258
77,0.095,0.125,105.77928800000001,90.77928800000001,80.67164023454256,6085.945181631801
78,0.095,0.125,-2.933560999999983,0.0,79.61390580823831,6165.559087440039
79,0.1,0.13,-21.900971000000013,0.0,79.15333403086738,6244.712421470906
80,0.1,0.13,0.0,0.0,79.71046122502094,6324.422882695926
81,0.095,0.125,0.0,0.0,79.72368329171697,6404.146565987643
82,0.095,0.125,0.0,0.0,79.73650582115096,6483.883071808794
83,0.095,0.125,0.0,0.0,79.74888337007752,6563.631955178871
84,0.09,0.12,1.4210854715202004e-14,0.0,79.7607764526691,6643.39273163154
85,0.09,0.12,-33.27003400000001,0.0,79.0286959895087,6722.421427621049
86,0.09,0.12,-29.72019400000002,0.0,79.1187330169862,6801.540160638035
87,0.08499999999999999,0.11499999999999999,-26.866259000000014,0.0,79.22625867445502,6880.766419312489
88,0.08499999999999999,0.11499999999999999,-29.05491500000001,0.0,79.1896297063367,6959.956049018826
89,0.08499999999999999,0.11499999999999999,-26.768743,0.0,79.24686588552014,7039.2029149043465
90,0.08499999999999999,0.11499999999999999,-32.428299,0.0,79.13573125567022,7118.338646160017
91,0.08499999999999999,0.11499999999999999,-48.08852500000002,0.0,78.81297656207613,7197.151622722093
92,0.08499999999999999,0.11499999999999999,-63.050267999999996,0.0,78.50435839728412,7275.6559811193765
93,0.08499999999999999,0.11499999999999999,-64.23303,0.0,78.48595953184935,7354.141940651226
94,0.08499999999999999,0.11499999999999999,-39.614861999999995,0.0,79.01022647759045,7433.1521671288165
95,0.1,0.13,16.01028299999999,1.0102829999999905,80.35070827765904,7513.502875406475
